400 5000
68 25 31
67 286 39
179 7 10
153 293 43
70 337 14
100 198 19
276 356 37
258 11 16
369 74 9
276 198 12
322 231 20
228 356 4
89 177 49
289 61 20
222 1 4
215 1 28
133 26 40
269 137 14
338 24 24
336 61 12
103 360 3
398 147 39
308 13 26
39 314 10
106 107 38
146 270 49
320 280 27
217 154 35
305 268 25
258 94 41
328 178 27
140 97 35
162 137 19
229 255 48
317 250 4
299 325 3
186 236 16
214 175 45
74 283 8
22 232 37
157 198 7
146 19 14
190 273 21
320 308 41
125 392 24
374 298 6
15 109 31
274 320 16
104 366 26
43 67 39
210 101 44
173 1 28
167 233 38
391 9 15
320 169 46
288 45 22
123 18 29
65 65 34
88 229 17
123 86 40
158 396 8
88 30 45
168 336 3
363 9 3
305 289 43
270 148 19
324 28 7
169 115 40
294 288 28
356 166 17
332 186 48
352 396 21
398 295 1
331 294 43
99 229 24
397 132 34
36 103 27
276 366 10
359 210 30
236 329 14
388 10 24
178 2 48
206 191 42
190 163 16
88 251 9
133 67 33
48 27 2
109 191 8
281 365 20
158 247 15
106 359 4
118 118 48
237 155 2
63 348 38
37 54 32
86 238 14
107 330 36
196 52 26
167 358 42
215 60 16
198 232 36
349 346 15
111 241 25
328 373 31
273 95 45
375 1 41
24 81 11
213 215 48
210 197 36
37 78 39
25 146 23
327 6 22
270 296 30
214 313 40
64 191 26
104 315 13
8 264 2
25 160 16
139 123 15
147 51 4
316 168 34
113 322 43
198 201 19
338 399 38
315 386 41
304 13 22
324 124 39
289 72 49
21 214 29
10 155 27
71 191 19
2 217 13
267 375 22
4 107 39
124 149 1
152 158 32
12 247 26
192 198 48
126 42 14
391 394 28
200 282 23
294 102 24
284 201 20
346 308 44
256 221 20
338 271 22
392 182 8
357 189 7
134 376 8
28 78 36
228 263 6
198 246 43
385 383 49
377 230 35
236 290 35
218 185 32
33 54 23
368 287 46
308 307 28
269 9 21
333 335 23
216 117 44
345 242 10
117 339 28
248 114 44
45 351 44
72 288 10
67 163 2
291 59 36
342 209 5
49 84 44
251 271 18
68 100 7
303 308 42
82 239 45
263 21 15
189 189 19
160 84 27
277 97 19
244 94 48
153 258 42
2 230 47
118 119 19
311 60 45
131 231 11
110 352 6
5 158 45
21 3 49
77 94 36
320 99 26
301 325 41
160 161 37
6 221 36
287 381 8
139 231 4
22 184 33
107 123 41
230 273 6
343 11 8
153 181 34
74 136 19
247 309 1
209 166 19
246 227 32
161 98 48
192 75 34
247 286 15
165 144 3
272 394 4
35 85 42
249 234 16
47 357 34
187 10 43
249 36 17
17 171 45
39 267 9
328 89 4
271 230 13
145 19 27
164 64 13
156 256 31
36 67 41
186 215 39
54 166 5
384 190 3
39 170 31
242 178 18
234 18 10
352 156 33
229 61 38
106 180 17
108 321 41
380 104 1
63 370 38
275 179 34
373 263 22
103 98 9
73 162 37
67 218 39
90 172 3
186 76 45
286 304 39
220 313 9
170 374 12
224 116 27
111 205 21
324 315 32
138 209 32
334 318 33
50 267 5
148 385 24
349 4 2
307 294 3
76 73 19
234 52 3
317 388 23
313 136 25
326 74 3
389 248 10
289 144 37
92 176 40
147 307 8
147 178 18
295 27 49
27 279 21
138 378 12
139 396 28
15 231 48
35 196 7
79 267 39
131 194 46
208 274 16
394 71 1
369 59 23
149 279 36
217 181 36
271 209 28
169 97 42
108 85 28
134 215 42
322 236 28
238 335 39
55 172 40
160 80 10
77 226 1
152 280 23
158 230 25
219 245 21
336 108 13
188 395 22
214 200 37
346 399 20
154 374 13
127 377 27
200 28 1
362 338 12
102 285 26
94 253 22
293 14 49
276 119 2
366 396 49
104 17 39
153 213 26
278 361 39
79 301 46
273 118 5
64 311 13
350 65 14
300 157 10
57 374 15
54 20 17
42 378 27
258 156 33
364 385 14
164 50 21
199 306 34
221 302 36
78 389 4
304 136 30
101 178 36
113 209 13
46 384 33
249 197 36
234 258 15
341 77 9
198 361 20
182 299 12
210 221 17
193 113 33
119 26 27
145 229 23
103 98 47
308 121 30
95 89 49
52 151 31
18 227 1
40 229 46
309 327 26
208 129 3
249 187 34
350 294 48
317 49 26
242 203 1
139 343 32
379 211 7
122 306 10
91 379 7
99 357 14
368 243 15
57 237 31
144 311 16
205 165 8
94 112 24
201 321 43
18 197 22
295 330 24
196 174 19
286 389 49
322 180 33
9 71 21
398 177 42
257 343 12
88 34 31
207 317 16
144 256 42
376 393 43
381 123 26
50 359 7
298 14 41
36 295 10
377 272 5
206 397 48
160 322 6
226 16 8
105 389 48
216 390 43
341 288 1
59 377 16
288 19 40
304 232 33
155 338 2
39 318 46
98 101 34
282 333 28
268 232 37
16 126 35
358 87 2
17 127 22
85 345 3
341 273 17
111 26 47
364 358 5
259 156 15
146 85 32
4 312 35
98 325 11
237 290 26
385 95 43
248 317 20
62 293 36
307 271 46
241 298 44
170 239 29
338 82 17
378 287 40
318 95 12
114 367 40
393 104 21
161 1 1
165 177 11
207 131 9
147 118 33
44 303 23
334 165 1
95 325 21
90 224 2
131 177 13
73 18 3
302 41 32
101 227 13
15 144 49
275 348 22
86 385 18
359 313 40
239 65 17
4 177 8
77 9 3
114 234 46
377 251 3
138 94 28
173 186 48
260 101 29
117 351 25
176 165 42
355 254 17
328 287 23
113 218 32
22 390 19
279 245 20
159 26 1
314 56 5
201 224 2
345 210 32
272 247 35
253 54 1
312 188 17
367 287 28
227 159 11
134 20 23
2 283 35
203 110 37
320 162 49
306 371 10
101 312 18
158 2 8
166 182 1
96 116 49
17 316 18
241 330 43
114 319 22
334 395 31
45 119 3
164 223 45
364 335 23
168 384 17
138 348 44
56 384 35
198 361 10
118 163 27
189 174 26
347 342 32
387 247 17
121 334 1
288 228 46
247 140 21
392 189 9
371 256 43
348 137 44
166 321 29
189 268 33
324 203 19
129 280 44
235 394 28
302 319 40
5 200 19
345 354 7
113 193 35
36 61 9
314 365 19
137 146 35
270 140 12
103 183 37
96 271 37
375 339 7
263 321 18
313 285 15
63 320 30
358 195 17
389 213 34
34 324 38
9 256 20
245 343 13
16 142 4
361 269 45
19 173 38
120 194 42
192 368 47
300 217 12
99 381 49
315 216 33
247 350 4
201 161 42
94 170 22
387 153 45
0 380 13
167 205 48
111 342 43
40 348 6
172 237 43
83 115 12
69 109 21
346 225 31
0 386 4
197 237 11
217 254 18
337 83 43
223 111 14
170 156 21
235 295 43
345 254 33
348 302 8
388 330 23
122 388 4
30 62 49
305 355 28
306 259 16
304 197 22
112 105 24
310 377 14
282 262 17
141 65 41
368 186 28
319 348 32
242 281 19
386 291 4
131 346 29
320 147 42
399 38 20
54 268 43
347 347 32
27 215 17
265 47 14
138 284 35
6 385 36
80 329 17
85 315 47
371 357 24
396 297 15
288 224 13
93 361 28
348 43 37
376 137 19
340 177 47
263 362 5
137 188 46
105 342 43
158 147 26
75 355 4
161 385 48
172 275 39
384 7 31
272 43 47
182 256 3
77 26 13
299 393 37
58 272 41
164 15 26
67 172 43
181 361 28
229 206 21
369 9 46
189 102 37
54 399 19
66 379 29
131 376 34
226 392 17
18 77 1
137 87 21
116 206 6
102 63 9
319 192 31
351 22 37
261 130 7
1 266 1
122 258 49
216 18 27
201 183 6
28 148 26
2 59 24
61 274 21
313 160 2
155 305 25
269 86 46
79 213 21
34 379 35
31 26 4
132 79 34
390 88 49
339 141 32
386 166 15
305 22 25
229 115 2
398 33 40
117 270 17
316 279 29
121 340 43
134 328 11
94 192 22
228 36 21
395 369 11
270 385 47
89 295 10
350 306 39
267 378 19
156 169 22
373 199 34
281 306 9
165 394 41
25 370 43
91 268 49
24 344 12
70 362 40
165 388 44
45 180 38
313 1 2
348 321 11
87 142 28
219 318 49
218 10 8
121 191 26
349 48 49
197 168 2
264 246 5
111 56 24
37 218 35
323 226 5
361 65 4
215 376 31
117 346 44
23 25 25
131 92 6
239 69 35
39 234 5
222 87 44
112 129 35
343 7 17
278 58 47
44 40 36
358 391 16
302 279 11
330 387 16
251 267 23
208 348 28
6 9 4
39 378 31
394 74 48
320 22 45
233 90 21
222 117 19
175 398 13
204 223 33
92 292 46
326 304 12
99 387 12
248 11 47
178 146 18
226 62 13
272 300 49
96 107 35
42 378 20
373 193 5
272 50 44
278 113 26
112 223 32
164 339 14
125 339 34
103 282 1
218 108 25
206 112 8
289 5 48
29 262 33
281 350 24
125 247 42
206 269 42
127 291 32
35 145 48
340 218 38
113 283 24
8 143 19
46 113 29
120 249 42
268 112 5
258 126 37
268 306 12
161 299 22
322 173 27
363 82 49
234 224 2
113 245 6
156 381 40
10 115 25
220 146 5
171 151 19
240 20 43
266 112 6
145 220 23
313 0 21
295 87 32
350 43 43
90 113 36
187 389 25
253 233 32
262 322 14
381 153 44
136 172 4
227 399 12
197 288 27
187 247 49
369 319 23
238 226 16
154 148 32
233 84 44
304 154 22
265 270 48
56 171 42
343 328 17
311 399 39
72 365 18
325 277 36
168 67 18
222 138 36
344 140 39
149 191 41
107 358 24
215 11 12
15 396 42
98 76 23
175 235 30
5 300 37
117 265 1
166 32 25
283 289 39
258 305 16
233 333 30
323 102 21
161 245 33
232 93 23
193 365 10
59 233 2
94 73 21
117 0 18
317 165 24
229 353 19
149 377 10
139 43 2
185 321 24
117 96 14
222 290 35
38 13 21
349 300 16
250 211 18
332 28 45
111 155 34
347 5 46
40 162 10
266 35 26
211 53 37
19 9 21
196 122 28
130 7 12
206 138 27
114 276 46
231 368 43
103 331 39
188 175 14
386 224 24
393 23 32
247 54 44
179 148 43
103 199 19
239 1 29
215 130 7
344 8 35
368 234 45
358 308 12
290 218 4
148 197 44
39 101 14
216 19 29
360 111 28
373 273 27
31 7 3
102 375 28
262 335 45
57 372 10
198 354 2
38 16 18
34 154 48
33 92 29
131 124 18
82 144 35
45 357 6
154 329 31
93 147 27
260 366 25
341 355 24
3 190 39
109 371 29
131 41 43
19 47 28
26 126 6
254 224 44
196 103 47
391 273 45
57 57 3
296 330 12
356 318 21
183 355 9
374 268 47
197 60 31
255 399 49
339 105 14
113 389 32
379 206 48
343 117 24
204 146 49
125 286 30
107 94 47
358 52 39
366 150 8
366 98 27
27 390 49
90 161 9
94 346 34
137 381 14
286 351 2
379 50 26
120 254 29
355 340 14
232 197 3
89 172 49
144 152 4
191 127 20
220 127 40
375 29 29
52 346 44
290 85 25
215 115 5
290 125 47
91 324 4
211 230 23
242 204 9
189 62 49
8 230 39
27 337 2
375 304 22
20 101 33
73 333 28
60 271 31
126 310 13
351 334 1
146 5 11
325 52 29
13 382 23
179 229 41
82 115 6
16 81 46
121 97 31
36 381 26
295 55 22
221 321 8
266 8 27
213 130 32
22 46 18
251 145 36
362 53 43
32 249 13
61 208 26
313 71 21
147 0 1
332 242 44
125 384 43
339 40 25
243 356 10
299 87 48
96 157 31
394 173 13
40 334 26
347 254 27
217 84 7
391 78 17
263 308 27
336 123 12
347 249 34
206 159 36
317 264 31
270 382 39
262 342 33
229 75 20
301 281 49
167 89 23
215 149 20
136 385 22
20 238 18
355 376 15
248 190 37
137 160 36
228 327 13
10 317 21
368 108 43
68 8 27
206 252 13
185 55 15
242 103 4
46 104 36
375 105 1
353 313 32
377 27 27
150 124 34
126 75 37
15 187 23
378 174 27
372 125 14
63 201 15
326 30 8
60 274 40
234 57 44
38 393 23
76 310 5
385 197 31
112 367 43
232 252 49
322 261 13
187 379 3
216 98 15
41 131 40
368 44 25
224 214 6
230 85 13
243 323 2
232 224 37
23 190 46
221 39 30
16 142 37
159 118 19
48 4 36
54 37 16
123 294 22
103 229 22
290 395 22
185 134 21
395 71 20
293 116 7
310 208 18
175 43 31
6 327 47
104 99 39
396 29 31
87 2 8
31 173 9
4 303 19
252 311 22
25 40 12
194 289 24
227 375 30
358 98 25
46 373 11
96 378 34
149 34 44
28 56 34
245 385 34
77 95 1
319 201 33
212 348 44
132 69 22
196 397 35
344 295 45
175 207 41
287 356 21
365 194 25
260 172 6
292 128 21
384 97 35
114 154 23
321 19 19
386 151 47
320 15 1
61 56 12
297 73 48
49 105 23
339 257 48
49 248 14
268 241 46
283 5 20
192 144 30
358 224 29
363 383 37
72 2 30
120 201 41
38 248 44
380 87 6
260 159 26
170 373 34
199 134 35
64 206 4
267 210 34
17 122 5
276 321 15
309 241 13
156 99 38
19 132 25
91 392 3
267 179 33
6 390 16
380 359 28
168 110 16
101 108 16
344 208 14
367 296 18
113 209 35
354 375 49
294 376 8
164 358 9
183 299 32
207 370 36
67 14 23
187 38 27
96 194 27
83 45 22
20 14 46
200 312 38
72 178 2
390 348 49
49 166 6
33 288 13
39 257 20
223 13 16
306 203 24
304 9 33
381 27 29
376 195 49
380 262 11
235 181 7
105 359 24
27 12 25
132 239 8
268 79 45
386 128 3
146 43 7
87 292 29
340 375 16
339 74 35
227 246 13
64 74 32
286 259 41
12 127 7
228 142 39
372 351 12
183 365 22
57 264 28
393 148 38
205 111 10
86 269 24
99 194 9
285 219 28
46 183 11
384 219 9
176 84 16
67 183 39
21 48 10
257 55 48
270 278 1
150 26 36
0 190 13
259 343 7
390 365 25
166 61 30
219 327 15
314 324 45
195 46 4
399 207 9
86 272 19
82 283 15
136 21 45
208 115 34
389 69 2
70 152 22
9 67 22
186 62 31
14 309 9
263 191 17
136 341 10
45 28 33
69 301 14
237 126 34
174 324 14
149 348 2
338 114 20
3 224 37
84 377 46
291 16 25
181 351 47
306 348 11
120 351 20
82 4 1
166 151 48
335 370 17
371 104 30
16 5 30
350 92 32
266 117 4
393 380 4
316 291 37
2 346 36
244 161 46
256 365 18
187 260 40
32 262 4
213 68 46
192 384 41
353 107 38
280 55 34
164 58 19
55 287 2
89 20 5
8 240 9
384 69 41
206 210 40
56 231 40
108 248 32
319 357 44
364 314 49
166 349 13
287 296 1
103 266 11
329 2 32
397 65 44
105 320 1
166 229 38
288 109 27
237 230 2
93 269 35
219 208 45
176 278 14
309 162 20
166 73 26
228 340 6
138 212 1
238 154 28
285 153 33
145 97 19
212 300 18
315 84 46
38 237 14
320 282 20
181 251 30
295 334 13
190 179 45
12 243 44
399 46 39
236 38 39
264 67 28
329 237 44
208 167 5
60 112 26
269 29 8
158 267 28
88 226 9
393 182 14
170 35 10
69 22 49
99 147 28
260 158 22
259 331 30
26 366 28
247 327 3
0 214 8
240 25 33
232 358 39
23 7 27
79 141 28
108 221 23
361 99 37
94 173 18
194 105 34
58 253 3
103 207 48
306 227 8
290 20 20
321 113 20
250 272 23
293 389 20
126 199 13
214 207 26
79 176 41
296 250 29
258 276 14
21 338 27
157 376 24
120 293 17
58 195 35
137 193 44
366 323 32
233 6 38
288 276 17
3 71 1
326 390 10
145 162 31
203 164 49
275 166 18
329 55 13
353 349 13
240 59 25
258 256 11
174 292 23
81 31 15
157 308 33
270 6 29
231 133 8
291 81 23
170 323 28
31 268 39
171 234 49
256 72 15
366 99 18
33 222 5
258 128 20
94 260 41
248 65 31
5 306 49
233 180 17
319 123 12
228 303 47
349 345 39
100 62 37
0 238 46
43 362 18
7 96 32
132 310 48
169 285 16
385 36 18
38 321 8
308 215 45
184 268 8
284 296 48
184 91 13
29 174 46
220 151 30
68 25 18
200 212 15
88 73 25
84 163 18
316 134 5
348 214 18
30 148 23
368 70 7
206 376 42
261 371 1
232 185 23
396 13 19
105 169 1
167 103 2
175 262 29
326 380 27
53 133 41
131 67 38
100 206 46
114 87 41
304 51 14
139 26 26
172 147 24
346 389 40
165 347 43
58 88 13
60 153 49
38 6 20
292 359 48
345 379 25
148 393 34
100 293 11
397 150 28
266 4 22
218 317 45
354 162 41
236 317 14
192 46 40
36 84 47
174 54 13
232 352 10
226 186 23
344 316 36
83 326 20
345 219 26
370 24 4
317 145 2
97 179 12
238 161 45
158 266 27
160 230 7
321 184 39
196 134 17
28 167 45
271 165 8
234 399 2
136 46 9
25 27 1
146 329 2
388 17 31
141 282 44
285 110 38
5 212 8
349 381 39
375 341 23
233 20 39
121 373 40
289 74 7
328 376 42
323 7 33
366 289 47
23 334 20
298 269 24
56 124 14
348 129 49
14 333 8
247 45 34
388 188 41
171 221 34
164 398 14
1 272 19
367 3 36
396 174 44
235 377 12
174 168 19
51 151 21
248 215 31
339 159 42
109 130 16
198 265 6
336 343 46
17 269 8
351 118 35
89 70 38
358 26 9
358 356 44
8 240 47
56 233 38
148 290 1
90 102 39
11 167 39
144 12 49
60 79 7
61 92 5
273 262 44
253 384 45
378 139 45
30 360 19
80 308 5
112 86 47
121 377 19
360 343 24
126 346 48
216 182 8
306 308 42
0 388 4
354 234 42
91 297 29
33 35 23
184 137 30
266 94 3
124 224 32
63 192 39
212 274 33
312 366 6
137 56 35
193 227 16
106 41 23
26 74 32
92 126 17
220 75 13
245 160 24
168 303 21
327 75 33
358 253 39
383 30 15
181 289 15
260 244 19
367 263 19
38 101 31
371 11 39
314 172 33
193 212 31
137 387 20
106 292 36
80 208 19
269 209 22
4 301 31
118 226 34
325 317 29
341 265 28
256 137 7
183 326 4
84 105 27
142 262 18
362 214 46
289 40 16
219 310 43
395 97 47
281 13 2
318 167 44
332 150 41
47 1 2
131 101 31
394 227 34
224 116 14
127 174 19
260 28 23
199 100 37
128 29 37
242 107 10
381 346 45
283 336 36
146 161 33
387 387 42
264 22 30
142 65 21
292 362 47
274 314 15
191 6 15
140 210 34
199 148 22
116 229 47
66 137 36
345 66 33
118 154 29
210 212 11
276 124 15
239 326 24
132 286 17
89 118 25
85 117 37
300 109 31
297 386 13
42 142 31
31 210 9
202 334 18
226 3 2
370 191 11
194 314 47
205 196 20
331 18 12
65 353 22
242 238 28
300 177 12
210 211 12
31 172 23
132 14 39
176 78 10
365 81 8
271 228 38
395 307 41
237 352 40
263 394 18
293 253 40
176 367 4
9 235 22
52 209 23
353 70 9
92 363 27
38 124 37
190 280 5
19 280 10
31 134 33
65 175 14
395 87 30
42 382 24
287 137 33
386 377 49
352 122 25
304 217 10
22 350 47
232 327 46
179 234 35
32 218 6
50 27 3
195 221 25
2 241 3
156 49 32
258 253 4
180 90 12
157 322 29
387 8 23
133 241 15
184 180 47
305 200 45
250 55 7
293 265 3
317 157 38
308 202 3
108 375 11
70 377 39
385 8 11
82 284 20
229 57 28
120 241 36
163 288 26
392 354 30
61 120 47
299 61 15
12 320 33
156 173 16
374 134 25
126 291 24
223 142 4
221 97 47
204 185 15
319 331 42
292 156 39
325 328 13
221 213 14
85 267 41
247 117 14
307 95 17
227 219 42
396 303 8
282 275 33
141 224 30
73 134 35
222 47 47
105 153 40
209 311 38
242 39 45
116 1 37
191 46 13
271 296 47
379 217 6
213 339 4
168 261 39
51 43 11
3 399 25
93 298 31
28 217 23
265 327 34
85 24 22
333 332 15
305 153 30
320 200 45
223 9 12
0 203 49
9 17 16
363 114 4
304 263 29
43 59 44
122 134 16
68 20 27
185 355 44
365 140 46
97 387 34
336 107 37
204 306 3
40 107 28
38 366 43
303 115 6
233 120 11
214 292 16
183 51 31
37 324 4
134 235 40
235 103 39
182 351 34
299 45 42
262 112 36
393 157 21
159 68 46
344 184 23
286 375 49
194 64 24
277 8 19
275 84 27
318 245 7
94 240 7
261 390 41
237 153 25
317 318 13
72 267 26
89 31 9
96 367 9
42 385 19
69 194 45
66 365 2
356 275 5
322 374 39
84 394 45
111 382 40
334 78 38
277 211 20
107 231 11
336 332 18
352 357 36
392 287 36
35 316 13
26 12 35
53 55 7
226 22 12
391 75 27
183 229 45
193 327 32
371 346 19
103 233 5
206 75 9
326 168 16
105 164 49
35 106 45
135 364 24
385 389 14
285 396 40
197 95 33
45 63 40
304 213 45
93 130 8
249 0 26
375 41 44
208 292 19
167 142 26
3 29 11
312 143 16
206 311 17
70 372 25
350 78 45
64 235 28
319 148 41
211 323 44
323 78 35
147 34 13
278 176 40
225 189 45
187 314 47
57 154 44
336 10 27
187 346 19
234 191 35
328 173 16
35 256 34
275 177 20
115 93 19
214 385 1
106 27 33
81 355 32
378 395 16
386 87 43
151 180 20
166 42 32
150 315 3
180 264 15
346 319 13
229 274 4
170 72 28
372 82 25
47 342 48
304 339 39
168 234 27
270 8 39
330 74 34
14 13 6
276 176 41
345 310 5
108 6 42
339 141 31
139 389 9
387 47 12
13 326 9
306 270 34
49 40 29
382 346 7
49 267 18
236 282 48
237 24 19
280 78 35
117 72 16
97 262 45
87 237 5
293 60 37
80 193 47
239 188 31
330 273 34
42 295 12
94 320 42
118 30 49
240 248 11
113 347 44
365 100 17
290 87 35
183 172 37
373 133 23
87 38 15
191 81 37
227 385 6
311 25 32
158 199 42
328 24 32
247 283 44
125 380 5
94 20 9
251 183 12
210 351 5
147 54 30
128 197 43
137 333 3
50 345 7
393 350 48
91 23 18
257 80 3
79 155 36
73 114 7
321 364 9
363 149 48
246 300 46
380 336 18
243 135 39
219 234 5
166 33 21
20 226 49
182 70 18
103 310 15
389 168 7
385 97 3
337 201 28
111 50 49
49 168 42
340 327 18
358 162 21
322 300 47
393 21 3
94 181 43
110 292 23
286 103 3
14 210 36
188 174 46
227 268 2
252 266 45
319 360 38
396 263 26
142 394 21
351 231 36
25 244 33
384 191 41
31 188 23
347 159 43
180 246 45
87 295 12
49 203 38
374 231 8
62 279 5
116 333 8
141 211 36
67 388 12
218 165 44
307 376 13
372 336 8
202 190 41
394 66 22
5 178 11
159 207 26
235 67 46
228 156 28
57 360 12
320 168 24
18 386 29
40 47 8
331 215 8
194 207 35
325 205 39
390 14 15
356 286 25
217 280 27
191 243 15
113 190 35
356 57 39
100 201 40
52 99 49
267 346 32
331 265 25
108 121 16
136 195 23
295 86 6
159 63 15
362 160 37
120 139 6
128 374 19
337 253 33
43 67 49
52 333 19
259 49 28
111 355 2
360 172 28
344 151 7
260 329 15
126 365 49
129 342 26
352 158 27
193 357 30
128 259 31
393 346 24
162 294 6
146 296 22
37 345 33
195 128 49
194 180 13
9 251 41
30 194 21
200 27 18
263 338 15
354 384 48
201 83 47
148 91 21
361 163 4
193 212 15
275 207 45
215 259 21
3 262 28
383 128 12
348 217 47
149 247 24
339 97 29
246 80 20
202 331 33
305 240 35
374 269 14
152 320 36
32 148 25
346 155 24
221 72 12
98 398 45
62 185 7
73 382 5
334 157 14
391 177 12
128 119 9
29 98 22
311 348 24
18 15 31
184 20 49
42 313 39
54 296 2
51 71 45
261 256 20
145 225 22
361 105 15
84 107 42
265 317 34
151 398 30
238 73 14
284 252 16
145 338 6
370 86 9
98 72 36
367 246 34
144 320 26
360 369 28
392 223 38
23 144 28
54 256 32
366 25 1
334 370 1
33 125 19
354 17 15
96 220 21
12 41 31
111 12 12
345 261 27
388 175 43
284 95 36
245 297 17
193 315 4
351 53 12
394 332 38
1 34 17
132 157 33
156 156 5
196 215 40
322 29 2
142 105 3
385 313 41
321 49 24
74 210 8
227 258 1
114 128 34
63 170 47
88 380 12
109 32 40
2 226 18
266 74 22
394 137 17
321 159 42
309 399 38
341 142 35
216 195 30
231 170 42
305 284 44
256 365 8
61 263 31
232 24 43
62 196 31
21 395 33
359 52 45
126 254 44
235 357 31
320 320 11
63 157 1
130 77 28
155 193 44
56 88 34
227 18 28
356 368 44
4 257 34
356 131 23
325 184 25
177 193 22
315 184 23
129 396 5
117 169 33
109 342 15
357 369 35
96 241 16
346 195 24
58 339 40
275 157 13
253 276 39
263 105 11
107 154 24
202 128 22
18 149 5
126 325 19
256 294 31
135 48 45
361 7 36
199 53 41
247 356 39
110 191 46
243 286 33
340 58 24
326 155 3
115 158 31
112 132 48
28 82 2
265 59 31
59 308 28
83 160 41
365 362 14
310 373 44
1 74 30
56 18 6
272 215 48
83 180 41
40 143 42
101 198 22
82 3 36
219 311 4
76 148 9
356 209 40
312 54 6
384 114 21
233 99 45
237 349 16
251 212 32
94 226 47
324 115 13
108 76 31
323 187 26
313 362 49
135 234 35
90 29 24
130 300 22
256 270 1
65 163 41
110 387 4
133 26 48
134 271 30
282 15 27
173 132 27
333 260 32
284 195 22
295 76 20
54 371 43
298 335 41
293 92 31
23 99 45
238 114 44
236 110 45
308 247 18
212 78 1
4 153 27
375 202 42
354 266 34
377 229 30
90 24 14
201 37 21
294 288 5
86 24 28
123 241 24
229 271 25
52 115 16
385 334 41
139 46 11
327 117 37
177 95 5
190 138 17
276 301 4
90 256 27
149 160 29
309 3 13
153 278 14
16 154 26
300 288 28
112 381 41
232 79 10
158 395 14
155 306 26
278 158 13
298 15 13
199 15 37
124 254 20
